id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233902,2018-02-01,-18,773,ясно,-,Ю 2м/с,-27,776,ясно,-,Ю 2м/с
233902,2018-02-02,-21,776,ясно,-,Ш,-29,775,малооблачно,-,Ш
233902,2018-02-03,,,-,-,,-30,775,ясно,-,Ш
233902,2018-02-04,-20,773,малооблачно,-,Ю 2м/с,-25,773,малооблачно,-,Ю 2м/с
233902,2018-02-05,-18,767,ясно,-,С 4м/с,-21,767,ясно,-,С 4м/с
233902,2018-02-06,-14,763,ясно,-,С 4м/с,-23,761,ясно,-,С 4м/с
233902,2018-02-07,-13,754,ясно,-,З 2м/с,-18,753,ясно,-,З 2м/с
233902,2018-02-08,-12,753,ясно,-,З 2м/с,-19,755,ясно,-,З 2м/с
233902,2018-02-09,-11,758,пасмурно,-,В 2м/с,-18,758,малооблачно,-,В 2м/с
233902,2018-02-10,-16,755,ясно,-,С 2м/с,-16,756,ясно,-,С 2м/с
233902,2018-02-11,-18,755,ясно,-,С 2м/с,-21,754,ясно,-,С 2м/с
233902,2018-02-12,-16,749,малооблачно,-,С 2м/с,-20,749,малооблачно,-,С 2м/с
233902,2018-02-13,-17,748,ясно,-,В 2м/с,-23,749,ясно,-,В 2м/с
233902,2018-02-14,-13,749,ясно,-,С 2м/с,-18,749,пасмурно,-,С 2м/с
233902,2018-02-15,-12,751,малооблачно,-,С 2м/с,-16,753,малооблачно,-,С 2м/с
233902,2018-02-16,-12,753,пасмурно,-,С 2м/с,-15,755,пасмурно,-,С 2м/с
233902,2018-02-17,-13,755,пасмурно,снег,С 6м/с,-15,758,пасмурно,снег,С 6м/с
233902,2018-02-18,-11,760,облачно,-,СЗ 4м/с,-18,760,ясно,-,СЗ 4м/с
233902,2018-02-19,-15,756,малооблачно,-,В 2м/с,-23,757,ясно,-,В 2м/с
233902,2018-02-20,-16,755,малооблачно,-,С 2м/с,-27,757,ясно,-,С 2м/с
233902,2018-02-21,-16,758,малооблачно,-,С 2м/с,-26,759,ясно,-,С 2м/с
233902,2018-02-22,-15,761,ясно,-,СВ 2м/с,-23,762,ясно,-,СВ 2м/с
233902,2018-02-23,-16,765,ясно,-,В 2м/с,-24,766,ясно,-,В 2м/с
233902,2018-02-24,-13,765,малооблачно,-,С 2м/с,-13,765,пасмурно,-,С 2м/с
233902,2018-02-25,-10,766,пасмурно,снег,С 12м/с,-11,768,пасмурно,снег,С 12м/с
233902,2018-02-26,-7,768,пасмурно,-,С 6м/с,-15,768,ясно,-,С 6м/с
233902,2018-02-27,-10,765,ясно,-,С 2м/с,-20,766,ясно,-,С 2м/с
233902,2018-02-28,,,-,-,,-21,761,малооблачно,-,Ш
